Week,Date,MiniQuiz,Lab,Assignments,Office Hrs (Mon),Office Hrs (Th or Fri),Topic,"Reading (page #s) T= read for Tuesday class, R = for Thursday, lab = for lab",Instructor,,,,,,,,,
1,Sep 10,-,no,-,-,-,Introduction,-,CJ / PA,,,,,,,,,
2,Sep 15/17,yes,Load/plot/scripts,-,-,-,Syntax & Variables,"T: 3-23 (1.1-1.6), 37-42 (2.1.1-2.1.2), 79-84,  lab: 94-106, 457-458",CJ  ,,,,,,,,,
3,Sep 22/24,yes,image/contour/indexing,-,-,yes,Data Structures,"T: (37-42 review), 42-62 (2.1.3-2.3), 277-287 (8.1,8.2.1);  R: 62-72 (2.4-2.5) lab:  467-474 (13.1.1)",CJ ,,,,,,,,,
4,Sep 29/Oct 1,yes,Claus.Clap.Eq/ Meshgrid/style,-,-,yes,Operators,"T: 11-22 (again), 528-534 (14.1 - ignore ""Programming Concept"" box on p. 530)",PA,,,,,,,,,
5,Oct 6/8,yes,if/if-else/local slope,,-,yes,Selection/Algorithms,T: 125-152 (ch. 4),PA,,,,,,,,,
6,Oct 1315,yes,Running mean,,-,yes,Loops/Algorithms,T: 153-180  (5.1-5.3.2),PA,,,,,,,,,
7,Oct 20/22,-,no,MIDTERM,yes,-,Review,-,PA  ,,,,,,,,,
8,Oct 27/29,yes,Running median function,A1 - part 1 due 10/26,-,yes,Functions/Modularization,"T: 106-116 (3.7, 3.8), 201-215 (6.1, 6.2), 359-365 (10.1).  By now should have read all or most of Chs. 1-6, 8, 10",CJ ,,,,,,,,,
9,Nov 3/5,yes,debug existing code,,-,yes,Debugging,T:  219-224 (6.5-6.6),"PA / CJ ""away""","CJ ""away"".  InSight Science team meeting all week (remote) / LabEX review - Nov 5,6 (""Paris"")",,,,,,,,
10,Nov 10/12,yes,fprintf,A1 - part 2 due,yes,yes,Text formatting / more functions,"T:  85-94 (3.3-3.4), 245-268 (ch. 7), 331-345 (9.3)",CJ,,,,,,,,,
11,Nov 17/19,yes (review),interpolation ,Start A2,-,yes,Interpolation,class notes,CJ,,,,,,,,,
12,Nov 24/26,yes (review),no,,-,-,Graphics,none,PA,,,,,,,,,
13,Dec 1/3,yes,no,A2 Due,-,-,Review,-,CJ,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Notes:  ,,,,,,,,,,,,,,,,,,
1.  Usually we do fprintf in the week with remembrance day b/c we often lose a class or lab and this topic is short.  This year it's on a Wed in Week 10,,,,,,,,,,,,,,,,,,
   In years when its on a Sat or Sun can do more practice with functions on the Thurs of the fprintf week…,,,,,,,,,,,,,,,,,,
"2. A1, part 1 grading has to be turned around quickly to get it back to students by end of the week so that they have a full week to improve and finish",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NEW 2020,,,,,,,,,,,,,,,,,,
1. Note that the current text has a lot of examples in chapters 4 and 5 that include functions which we don't cover till week 8. ,,,,,,,,,,,,,,,,,,
    As a result I truncated the reading for chapter 5 to not cover vectorization as this is ALL with functions.,,,,,,,,,,,,,,,,,,
2. Mini quiz week 2 - people traditionally haven't done reading.  I'll remake quiz and focus it on one part of reading and give them a heads up.,,,,,,,,,,,,,,,,,,
