Week,Date,Lab,Assignments,TA Hrs (Mon),TA Hrs (Th or Fri),Topic,Instructor,,,,,,,,,
1,Sep 10,no,-,-,-,Introduction,CJ / PA,,,,,,,,,
2,Sep 15/17,Load/plot/scripts,-,-,-,Syntax & Variables,CJ  ,,,,,,,,,
3,Sep 22/24,image/contour/indexing,-,-,yes,Data Structures,CJ ,,,,,,,,,
4,Sep 29/Oct 1,Claus.Clap.Eq/ Meshgrid/style,-,-,yes,Operators,PA,,,,,,,,,
5,Oct 6/8,if/if-else/local slope,,-,yes,Selection/Algorithms,PA,,,,,,,,,
6,Oct 1315,Running mean,,-,yes,Loops/Algorithms,PA,,,,,,,,,
7,Oct 20/22,no,MIDTERM,yes,-,Review,PA  ,,,,,,,,,
8,Oct 27/29,Running median function,A1 - part 1 due 10/26,-,yes,Functions/Modularization,CJ ,,,,,,,,,
9,Nov 3/5,debug existing code,,-,yes,Debugging,PA ,,,,,,,,,
10,Nov 10/12,fprintf,A1 - part 2 due,yes,yes,Text formatting / more functions,CJ,,,,,,,,,
11,Nov 17/19,interpolation ,Start A2,-,yes,Interpolation,CJ,,,,,,,,,
12,Nov 24/26,no,,-,-,Graphics,PA,,,,,,,,,
13,Dec 1/3,no,A2 Due,-,-,Review,CJ,,,,,,,,,
,,,,,,,,,,,,,,,,
