Date	Time(UT)	Lat	Long	Depth	Mag	Region and Comment		
9/16/16	19:46:50	51.4	-130.943	10.0g 	5.2	211	km 	WSW of Bella Bella
9/17/16	22:45:55	48.807	-129.291	10.0g 	4.5	249	km 	W of Tofino
9/17/16	22:45:55	48.807	-129.291	10.0g 	4.3	249	km 	W of Tofino
11/25/16	4:02:26	50.984	-130.209	10.0g 	4.5	194	km 	WSW of Bella Bella
1/6/17	15:48:59	50.114	-130.064	10.0g 	5.3	198	km 	WSW of Pt. Hardy
1/6/17	16:52:21	50.086	-130.092	10.0g 	4.6	201	km 	WSW of Pt. Hardy
1/6/17	21:05:27	49.905	-130.205	10.0g 	4.4	217	km 	WSW of Pt. Hardy
1/7/17	3:13:54	50.173	-130.109	10.0g 	5.5	199	km 	W of Pt. Hardy
1/7/17	3:17:39	50.025	-130.122	10.0g 	4.8	206	km 	WSW of Pt. Hardy
1/7/17	6:32:37	50.026	-130.076	10.0g 	4.6	203	km 	WSW of Pt. Hardy
1/7/17	3:23:58	50.039	-130.274	10.0g 	4.6	215	km 	WSW of Pt. Hardy
1/7/17	3:11:54	50.048	-130.234	10.0g 	4.2	212	km 	WSW of Pt. Hardy
1/17/17	12:52:31	50.289	-130.075	10.0g 	3.9	193	km 	W of Pt. Hardy
2/12/17	3:47:37	49.065	-129.64	10.0g 	5.0	241	km 	SW of Pt. Hardy
2/18/17	14:40:38	50.885	-124.386	21.0* 	4.1	115	km 	N of Powell R.
2/23/17	6:04:55	49.533	-129.542	10.0g 	5.1	199	km 	WSW of Pt. Hardy
2/23/17	6:29:21	49.546	-129.507	10.0g 	4.5	196	km 	WSW of Pt. Hardy
2/24/17	12:28:22	49.499	-129.478	10.0g 	5.1	198	km 	WSW of Pt. Hardy
2/28/17	23:58:12	50.587	-130.166	10.0g 	4.2	194	km 	W of Pt. Hardy
2/28/17	23:57:36	50.464	-130.295	10.0g 	4.2	205	km 	W of Pt. Hardy
5/7/17	20:05:32	50.542	-130.321	10.0g 	4.4	205	km 	W of Pt. Hardy
5/19/17	12:09:12	47.517	-128.309	10.0g 	4.4	253	km 	SW of Tofino
6/10/17	20:38:15	50.495	-130.359	10.0g 	4.8	209	km 	W of Pt. Hardy
6/19/17	17:22:58	49.752	-126.685	36.7* 	4.0	42	km 	W of Gold R.
6/30/17	18:05:19	50.52	-130.294	10.0g 	4.1	204	km 	W of Pt. Hardy
7/29/17	14:15:16	51.321	-130.862	10.0g 	4.2	210	km 	WSW of Bella Bella
